Gene stable ID	Gene name	Protein stable ID
ENSDARG00000032849	ndrg1a	ENSDARP00000044837
ENSDARG00000038977	slc25a24l	ENSDARP00000056894
ENSDARG00000038977	slc25a24l	ENSDARP00000105669
ENSDARG00000040698	plekha8	ENSDARP00000059622
ENSDARG00000100292	cimip2b	
ENSDARG00000100292	cimip2b	
ENSDARG00000100292	cimip2b	ENSDARP00000130067
ENSDARG00000070985	mrps21	ENSDARP00000132434
ENSDARG00000070985	mrps21	ENSDARP00000095428
ENSDARG00000054690	si:dkey-166k12.1	ENSDARP00000071383
ENSDARG00000054690	si:dkey-166k12.1	ENSDARP00000155833
ENSDARG00000018534	slc6a9	ENSDARP00000111044
ENSDARG00000018534	slc6a9	ENSDARP00000149753
ENSDARG00000018534	slc6a9	ENSDARP00000089601
ENSDARG00000018534	slc6a9	ENSDARP00000071929
ENSDARG00000018534	slc6a9	ENSDARP00000112693
ENSDARG00000093602	si:ch211-93g21.1	ENSDARP00000112743
ENSDARG00000104195	pimr203	
ENSDARG00000104195	pimr203	ENSDARP00000130188
ENSDARG00000042630	hebp2	ENSDARP00000062535
ENSDARG00000042630	hebp2	ENSDARP00000127102
ENSDARG00000078270	mast4	
ENSDARG00000078270	mast4	
ENSDARG00000016188	sbno2b	ENSDARP00000145174
ENSDARG00000016188	sbno2b	ENSDARP00000121656
ENSDARG00000096603	bmb	ENSDARP00000126759
ENSDARG00000096603	bmb	ENSDARP00000126692
ENSDARG00000096603	bmb	
ENSDARG00000017490	cel.1	
ENSDARG00000017490	cel.1	ENSDARP00000116496
ENSDARG00000017490	cel.1	
ENSDARG00000075634	si:ch211-225k7.4	ENSDARP00000122896
ENSDARG00000099456	si:ch211-261i24.2	
ENSDARG00000008263	slc60a1b	ENSDARP00000025673
ENSDARG00000097226	linc-pde4ba	
ENSDARG00000092285	cenpv	ENSDARP00000112607
ENSDARG00000092285	cenpv	ENSDARP00000148510
ENSDARG00000092285	cenpv	ENSDARP00000151581
ENSDARG00000092285	cenpv	ENSDARP00000114203
ENSDARG00000092894	si:ch211-114l13.9	ENSDARP00000140418
ENSDARG00000092894	si:ch211-114l13.9	ENSDARP00000119259
ENSDARG00000029639	tomm70a	ENSDARP00000117083
ENSDARG00000003165	nr2f6b	ENSDARP00000136646
ENSDARG00000003165	nr2f6b	ENSDARP00000002435
ENSDARG00000003165	nr2f6b	ENSDARP00000137164
ENSDARG00000003165	nr2f6b	ENSDARP00000130719
ENSDARG00000003165	nr2f6b	ENSDARP00000144340
ENSDARG00000070025	dchs1a	ENSDARP00000145870
ENSDARG00000070025	dchs1a	ENSDARP00000128412
ENSDARG00000102537	si:cabz01007816.2	ENSDARP00000140746
ENSDARG00000037781	acss2	ENSDARP00000120712
ENSDARG00000037781	acss2	ENSDARP00000114048
ENSDARG00000037781	acss2	ENSDARP00000146673
ENSDARG00000037781	acss2	ENSDARP00000112054
ENSDARG00000037781	acss2	ENSDARP00000156331
ENSDARG00000037781	acss2	ENSDARP00000055053
ENSDARG00000089875	si:ch211-226o13.2	ENSDARP00000116199
ENSDARG00000089875	si:ch211-226o13.2	ENSDARP00000125583
ENSDARG00000058477	pimr72	ENSDARP00000118859
ENSDARG00000078821	si:ch211-225k7.5	ENSDARP00000118009
ENSDARG00000020924	myo1ca	ENSDARP00000053510
ENSDARG00000020924	myo1ca	ENSDARP00000146110
ENSDARG00000103074	si:ch211-232f6.3	
ENSDARG00000062636	fem1b	ENSDARP00000085236
ENSDARG00000074510	mhc2bl	ENSDARP00000088705
ENSDARG00000074510	mhc2bl	ENSDARP00000116857
ENSDARG00000087293	si:dkey-84h14.1	ENSDARP00000146177
ENSDARG00000087293	si:dkey-84h14.1	ENSDARP00000125410
ENSDARG00000097662	tesmin	ENSDARP00000129462
ENSDARG00000092067	atn1	ENSDARP00000116176
ENSDARG00000096072	si:dkey-29j8.4	
ENSDARG00000005915	tcf3a	ENSDARP00000124171
ENSDARG00000005915	tcf3a	ENSDARP00000010044
ENSDARG00000005915	tcf3a	
ENSDARG00000005915	tcf3a	ENSDARP00000124777
ENSDARG00000005915	tcf3a	
ENSDARG00000004586	ntrk1	ENSDARP00000106635
ENSDARG00000004586	ntrk1	ENSDARP00000018941
ENSDARG00000035132	rgs3b	ENSDARP00000113548
ENSDARG00000035132	rgs3b	ENSDARP00000050870
ENSDARG00000035132	rgs3b	
ENSDARG00000035132	rgs3b	ENSDARP00000114424
ENSDARG00000061197	armc7	ENSDARP00000081470
ENSDARG00000094112	slc22a21	ENSDARP00000152461
ENSDARG00000094112	slc22a21	ENSDARP00000121090
ENSDARG00000094112	slc22a21	ENSDARP00000134313
ENSDARG00000061829	unc13a	ENSDARP00000083036
ENSDARG00000061829	unc13a	ENSDARP00000118268
ENSDARG00000061829	unc13a	ENSDARP00000114923
ENSDARG00000028322	pex14	ENSDARP00000156886
ENSDARG00000028322	pex14	ENSDARP00000113910
ENSDARG00000071644	si:dkey-19a16.7	ENSDARP00000113741
ENSDARG00000071644	si:dkey-19a16.7	ENSDARP00000145947
ENSDARG00000028354	stxbp6l	ENSDARP00000053843
ENSDARG00000028354	stxbp6l	ENSDARP00000075137
ENSDARG00000028354	stxbp6l	ENSDARP00000138234
ENSDARG00000060383	mmaa	ENSDARP00000124421
ENSDARG00000060383	mmaa	
ENSDARG00000060383	mmaa	ENSDARP00000079456
ENSDARG00000060383	mmaa	
ENSDARG00000087779	pum3	
ENSDARG00000087779	pum3	ENSDARP00000121585
ENSDARG00000087779	pum3	ENSDARP00000153216
ENSDARG00000087779	pum3	ENSDARP00000108665
ENSDARG00000087779	pum3	ENSDARP00000129484
ENSDARG00000036041	f2	
ENSDARG00000036041	f2	ENSDARP00000052324
ENSDARG00000036041	f2	ENSDARP00000104071
ENSDARG00000036041	f2	
ENSDARG00000036041	f2	ENSDARP00000142823
ENSDARG00000092131	si:ch211-219f7.3	
ENSDARG00000099388	si:dkey-23n7.5	
ENSDARG00000100725	ephb4a	ENSDARP00000151029
ENSDARG00000100725	ephb4a	ENSDARP00000152897
ENSDARG00000100725	ephb4a	ENSDARP00000138034
ENSDARG00000100725	ephb4a	ENSDARP00000135357
ENSDARG00000077926	nopchap1	ENSDARP00000098368
ENSDARG00000099708	cacna1hb	ENSDARP00000137239
ENSDARG00000099708	cacna1hb	ENSDARP00000130716
ENSDARG00000030494	hjv	ENSDARP00000045599
ENSDARG00000030494	hjv	ENSDARP00000123796
ENSDARG00000068098	si:ch211-198o12.4	ENSDARP00000115033
ENSDARG00000068098	si:ch211-198o12.4	
ENSDARG00000068098	si:ch211-198o12.4	ENSDARP00000089054
ENSDARG00000039352	pald1b	ENSDARP00000120616
ENSDARG00000039352	pald1b	ENSDARP00000157186
ENSDARG00000039352	pald1b	ENSDARP00000152165
ENSDARG00000039352	pald1b	ENSDARP00000118252
ENSDARG00000039352	pald1b	ENSDARP00000133910
ENSDARG00000028275	sult1st1	ENSDARP00000034116
ENSDARG00000043902	gabrr1	ENSDARP00000003360
ENSDARG00000043902	gabrr1	ENSDARP00000126733
ENSDARG00000056627	cxcl14	ENSDARP00000109550
ENSDARG00000027638	adra1ab	ENSDARP00000130230
ENSDARG00000027638	adra1ab	ENSDARP00000117062
ENSDARG00000051861	pkp3a	ENSDARP00000106964
ENSDARG00000051861	pkp3a	ENSDARP00000067477
ENSDARG00000051861	pkp3a	ENSDARP00000145683
ENSDARG00000051861	pkp3a	ENSDARP00000114409
ENSDARG00000056009	olfcq8	ENSDARP00000122012
ENSDARG00000056009	olfcq8	ENSDARP00000059446
ENSDARG00000105403	abcc6b.1	ENSDARP00000142317
ENSDARG00000105403	abcc6b.1	ENSDARP00000149484
ENSDARG00000105403	abcc6b.1	ENSDARP00000142089
ENSDARG00000027495	elovl4b	ENSDARP00000056327
ENSDARG00000076964	cables2a	ENSDARP00000116145
ENSDARG00000058297	timm13	ENSDARP00000075599
ENSDARG00000105613	si:dkey-88a11.8p	
ENSDARG00000095235	si:dkey-88d12.1	
ENSDARG00000104940	ciao2a	ENSDARP00000141242
ENSDARG00000093535	linc.setd1ba	
ENSDARG00000093535	linc.setd1ba	
ENSDARG00000093535	linc.setd1ba	
ENSDARG00000042409	ralgds	ENSDARP00000118941
ENSDARG00000055857	dop1b	ENSDARP00000153454
ENSDARG00000055857	dop1b	ENSDARP00000112906
ENSDARG00000055857	dop1b	ENSDARP00000120069
ENSDARG00000055857	dop1b	
ENSDARG00000055857	dop1b	ENSDARP00000072718
ENSDARG00000025338	hagh	ENSDARP00000034038
ENSDARG00000025338	hagh	ENSDARP00000122766
ENSDARG00000077666	evi5a	ENSDARP00000151319
ENSDARG00000077666	evi5a	ENSDARP00000101024
ENSDARG00000077666	evi5a	ENSDARP00000129122
ENSDARG00000105580	si:dkey-27k4.5	
ENSDARG00000062532	washc2c	ENSDARP00000084908
ENSDARG00000062532	washc2c	ENSDARP00000122297
ENSDARG00000062532	washc2c	ENSDARP00000119265
ENSDARG00000062532	washc2c	ENSDARP00000109069
ENSDARG00000100970	pimr197	ENSDARP00000068602
ENSDARG00000016010	nup107	ENSDARP00000040032
ENSDARG00000092998	si:ch211-202f5.3	ENSDARP00000131759
ENSDARG00000033251	osbpl3a	
ENSDARG00000033251	osbpl3a	ENSDARP00000126103
ENSDARG00000033251	osbpl3a	
ENSDARG00000033251	osbpl3a	ENSDARP00000119460
ENSDARG00000033251	osbpl3a	
ENSDARG00000097512	si:dkeyp-74f1.2	
ENSDARG00000097512	si:dkeyp-74f1.2	
ENSDARG00000062204	sigirr	ENSDARP00000084113
ENSDARG00000062204	sigirr	
ENSDARG00000023299	snu13b	ENSDARP00000038446
ENSDARG00000100170	pam	ENSDARP00000134344
ENSDARG00000100170	pam	
ENSDARG00000100170	pam	ENSDARP00000153117
ENSDARG00000100170	pam	ENSDARP00000144933
ENSDARG00000100170	pam	ENSDARP00000134889
ENSDARG00000007285	mrpl57	ENSDARP00000002120
ENSDARG00000007285	mrpl57	
ENSDARG00000007285	mrpl57	ENSDARP00000119580
ENSDARG00000071463	zgc:154125	ENSDARP00000096454
ENSDARG00000052721	prim2	
ENSDARG00000052721	prim2	ENSDARP00000012598
ENSDARG00000052721	prim2	ENSDARP00000120104
ENSDARG00000052721	prim2	ENSDARP00000115722
ENSDARG00000015955	cldn3d	ENSDARP00000002797
ENSDARG00000040027	osbpl10b	ENSDARP00000043822
ENSDARG00000040027	osbpl10b	ENSDARP00000112854
ENSDARG00000095534	si:ch211-158d24.3	
ENSDARG00000092948	gna15.3	ENSDARP00000153133
ENSDARG00000092948	gna15.3	ENSDARP00000116808
ENSDARG00000097553	si:dkey-193e13.8	
ENSDARG00000100368	si:ch211-163f17.1	
ENSDARG00000088245	si:dkey-81i14.1	ENSDARP00000114262
ENSDARG00000088245	si:dkey-81i14.1	ENSDARP00000106148
ENSDARG00000102130	si:dkey-16b10.3p	
ENSDARG00000057586	sall3b	ENSDARP00000090954
ENSDARG00000037238	smad5	ENSDARP00000054174
ENSDARG00000037238	smad5	ENSDARP00000121034
ENSDARG00000037238	smad5	ENSDARP00000149901
ENSDARG00000037238	smad5	ENSDARP00000153815
ENSDARG00000037238	smad5	ENSDARP00000154529
ENSDARG00000037238	smad5	ENSDARP00000155132
ENSDARG00000057098	htr1ab	ENSDARP00000115108
ENSDARG00000057098	htr1ab	ENSDARP00000074150
ENSDARG00000088307	mrtfba	ENSDARP00000127366
ENSDARG00000037259	ndufb6	
ENSDARG00000037259	ndufb6	ENSDARP00000054204
ENSDARG00000020218	amfra	ENSDARP00000106624
ENSDARG00000020218	amfra	ENSDARP00000002529
ENSDARG00000098681	si:ch73-138e16.7	
ENSDARG00000032155	ppm1aa	ENSDARP00000105749
ENSDARG00000032155	ppm1aa	ENSDARP00000070999
ENSDARG00000032155	ppm1aa	ENSDARP00000152770
ENSDARG00000032155	ppm1aa	ENSDARP00000140697
ENSDARG00000032155	ppm1aa	ENSDARP00000143657
ENSDARG00000097107	si:ch211-113h16.1	
ENSDARG00000101886	pdxdc1	ENSDARP00000150339
ENSDARG00000101886	pdxdc1	
ENSDARG00000101886	pdxdc1	ENSDARP00000136697
ENSDARG00000063008	si:dkeyp-27e10.3	
ENSDARG00000063008	si:dkeyp-27e10.3	ENSDARP00000118005
ENSDARG00000075670	rereb	ENSDARP00000153834
ENSDARG00000075670	rereb	ENSDARP00000101018
ENSDARG00000090673	si:ch1073-104i17.1	ENSDARP00000116155
ENSDARG00000011510	rcc2	ENSDARP00000123228
ENSDARG00000011510	rcc2	ENSDARP00000115464
ENSDARG00000011510	rcc2	ENSDARP00000004838
ENSDARG00000011510	rcc2	ENSDARP00000154575
ENSDARG00000001414	mctp2a	ENSDARP00000149319
ENSDARG00000001414	mctp2a	ENSDARP00000117751
ENSDARG00000001414	mctp2a	ENSDARP00000001617
ENSDARG00000001414	mctp2a	ENSDARP00000146393
ENSDARG00000040555	bckdha	ENSDARP00000059346
ENSDARG00000004307	lypd6	ENSDARP00000013064
ENSDARG00000105435	camta1	
ENSDARG00000105435	camta1	ENSDARP00000142562
ENSDARG00000105435	camta1	
ENSDARG00000074863	si:dkey-112m2.1	ENSDARP00000100479
ENSDARG00000074863	si:dkey-112m2.1	ENSDARP00000129700
ENSDARG00000092311	si:dkey-65b12.12	ENSDARP00000116414
ENSDARG00000096649	adgre19	ENSDARP00000127008
ENSDARG00000054124	htr1d	ENSDARP00000129450
ENSDARG00000046133	b3galnt2	ENSDARP00000067823
ENSDARG00000046133	b3galnt2	ENSDARP00000124502
ENSDARG00000046133	b3galnt2	
ENSDARG00000098497	hrasa	ENSDARP00000142010
ENSDARG00000097875	si:ch211-170a17.1	
ENSDARG00000086091	kcnn4	ENSDARP00000110397
ENSDARG00000086091	kcnn4	ENSDARP00000127960
ENSDARG00000086091	kcnn4	ENSDARP00000155566
ENSDARG00000023591	nrbf2b	
ENSDARG00000023591	nrbf2b	ENSDARP00000029558
ENSDARG00000018619	cers4b	ENSDARP00000033512
ENSDARG00000018619	cers4b	ENSDARP00000130933
ENSDARG00000025301	gfap	ENSDARP00000029607
ENSDARG00000116095	pimr87	ENSDARP00000116198
ENSDARG00000006889	mpped2a	ENSDARP00000138430
ENSDARG00000006889	mpped2a	ENSDARP00000009564
ENSDARG00000026829	cotl1	ENSDARP00000037758
ENSDARG00000102176	pla1a	ENSDARP00000136350
ENSDARG00000102176	pla1a	
ENSDARG00000045159	zdhhc4	ENSDARP00000150172
ENSDARG00000045159	zdhhc4	ENSDARP00000109689
ENSDARG00000045159	zdhhc4	ENSDARP00000072628
ENSDARG00000045159	zdhhc4	ENSDARP00000112009
ENSDARG00000105463	si:ch211-210k13.6	
ENSDARG00000069922	popdc2	ENSDARP00000136769
ENSDARG00000069922	popdc2	ENSDARP00000125097
ENSDARG00000069922	popdc2	ENSDARP00000092923
ENSDARG00000044155	mafaa	ENSDARP00000064832
ENSDARG00000062442	meiob	ENSDARP00000126655
ENSDARG00000062442	meiob	ENSDARP00000144926
ENSDARG00000062442	meiob	ENSDARP00000156277
ENSDARG00000062442	meiob	ENSDARP00000126852
ENSDARG00000062442	meiob	ENSDARP00000084022
ENSDARG00000045401	mllt10	
ENSDARG00000045401	mllt10	ENSDARP00000066762
ENSDARG00000045401	mllt10	ENSDARP00000123992
ENSDARG00000045401	mllt10	ENSDARP00000144221
ENSDARG00000045401	mllt10	
ENSDARG00000045401	mllt10	
ENSDARG00000045401	mllt10	ENSDARP00000156939
ENSDARG00000045401	mllt10	ENSDARP00000108632
ENSDARG00000045401	mllt10	ENSDARP00000124588
ENSDARG00000045401	mllt10	
ENSDARG00000045401	mllt10	ENSDARP00000124231
ENSDARG00000045401	mllt10	
ENSDARG00000045401	mllt10	
ENSDARG00000045401	mllt10	ENSDARP00000150153
ENSDARG00000042880	si:ch211-222f23.6	ENSDARP00000062939
ENSDARG00000044512	ca4c	ENSDARP00000065361
ENSDARG00000044512	ca4c	ENSDARP00000145136
ENSDARG00000003169	magi1b	ENSDARP00000044422
ENSDARG00000003169	magi1b	ENSDARP00000140295
ENSDARG00000003169	magi1b	ENSDARP00000140926
ENSDARG00000003169	magi1b	ENSDARP00000094743
ENSDARG00000003169	magi1b	ENSDARP00000144446
ENSDARG00000003169	magi1b	ENSDARP00000094744
ENSDARG00000003169	magi1b	ENSDARP00000132265
ENSDARG00000003169	magi1b	
ENSDARG00000095918	si:ch211-274k16.9	ENSDARP00000125096
ENSDARG00000076294	klb	ENSDARP00000100285
ENSDARG00000076294	klb	ENSDARP00000141358
ENSDARG00000097441	si:ch211-261i19.3	
ENSDARG00000097441	si:ch211-261i19.3	
ENSDARG00000076627	smg9	ENSDARP00000103685
ENSDARG00000076627	smg9	ENSDARP00000128140
ENSDARG00000094605	si:ch211-154e10.1	
ENSDARG00000094605	si:ch211-154e10.1	ENSDARP00000119720
ENSDARG00000019549	cds1	ENSDARP00000026957
ENSDARG00000019549	cds1	ENSDARP00000135745
ENSDARG00000095442	si:dkey-179a6.4	
ENSDARG00000023117	gopc	
ENSDARG00000023117	gopc	ENSDARP00000061134
ENSDARG00000040730	wdr75	
ENSDARG00000040730	wdr75	
ENSDARG00000040730	wdr75	
ENSDARG00000040730	wdr75	ENSDARP00000059666
ENSDARG00000092808	si:ch73-17k20.1	
ENSDARG00000094478	si:ch1073-75o15.4	ENSDARP00000118860
ENSDARG00000094478	si:ch1073-75o15.4	ENSDARP00000121416
ENSDARG00000016302	upf1	ENSDARP00000013006
ENSDARG00000016302	upf1	ENSDARP00000140654
ENSDARG00000016302	upf1	ENSDARP00000153550
ENSDARG00000089314	mapta	ENSDARP00000127056
ENSDARG00000089314	mapta	ENSDARP00000105066
ENSDARG00000089314	mapta	ENSDARP00000131095
ENSDARG00000093243	si:rp71-39b20.6	
ENSDARG00000093243	si:rp71-39b20.6	
ENSDARG00000039827	bbs5	ENSDARP00000058254
ENSDARG00000039827	bbs5	
ENSDARG00000054666	pgpep1	ENSDARP00000135997
ENSDARG00000054666	pgpep1	ENSDARP00000071365
ENSDARG00000100721	si:ch211-175l6.2	ENSDARP00000136897
ENSDARG00000100721	si:ch211-175l6.2	ENSDARP00000136774
ENSDARG00000029088	guf1	ENSDARP00000042671
ENSDARG00000089043	ptpn6	ENSDARP00000105983
ENSDARG00000089043	ptpn6	ENSDARP00000125053
ENSDARG00000089043	ptpn6	ENSDARP00000146029
ENSDARG00000089043	ptpn6	ENSDARP00000148161
ENSDARG00000092257	si:dkeyp-93h6.3	
ENSDARG00000092257	si:dkeyp-93h6.3	
ENSDARG00000092257	si:dkeyp-93h6.3	
ENSDARG00000007576	crybb1l1	ENSDARP00000145316
ENSDARG00000007576	crybb1l1	ENSDARP00000150743
ENSDARG00000007576	crybb1l1	ENSDARP00000108207
ENSDARG00000094878	si:dkey-84o3.6	ENSDARP00000113839
ENSDARG00000005162	tpm3	ENSDARP00000113122
ENSDARG00000005162	tpm3	ENSDARP00000149575
ENSDARG00000005162	tpm3	ENSDARP00000151109
ENSDARG00000005162	tpm3	ENSDARP00000012717
ENSDARG00000005162	tpm3	ENSDARP00000125941
ENSDARG00000005162	tpm3	ENSDARP00000004352
ENSDARG00000101768	trgv3	ENSDARP00000133400
ENSDARG00000095195	si:dkey-19a16.11	ENSDARP00000117437
ENSDARG00000032802	ktn1	ENSDARP00000107134
ENSDARG00000032802	ktn1	ENSDARP00000041446
ENSDARG00000032802	ktn1	ENSDARP00000005691
ENSDARG00000088390	nme4	ENSDARP00000116332
ENSDARG00000088390	nme4	ENSDARP00000105189
ENSDARG00000088390	nme4	ENSDARP00000103207
ENSDARG00000088390	nme4	ENSDARP00000151340
ENSDARG00000067850	jund	ENSDARP00000088526
ENSDARG00000037033	ptger2b	ENSDARP00000053830
ENSDARG00000029544	id2b	ENSDARP00000108958
ENSDARG00000029544	id2b	ENSDARP00000048758
ENSDARG00000044422	acvr2ba	ENSDARP00000028046
ENSDARG00000044422	acvr2ba	ENSDARP00000124769
ENSDARG00000044422	acvr2ba	ENSDARP00000106562
ENSDARG00000097445	si:dkey-195m11.8	
ENSDARG00000097445	si:dkey-195m11.8	ENSDARP00000128080
ENSDARG00000097445	si:dkey-195m11.8	ENSDARP00000128474
ENSDARG00000031698	mylk2	ENSDARP00000115941
ENSDARG00000031698	mylk2	ENSDARP00000048627
ENSDARG00000103667	gga3a	ENSDARP00000131475
ENSDARG00000102098	si:dkey-197m7.1	
ENSDARG00000105393	si:ch1073-159d7.6	ENSDARP00000142103
ENSDARG00000026875	tlcd3ba	ENSDARP00000127724
ENSDARG00000026875	tlcd3ba	ENSDARP00000129561
ENSDARG00000026875	tlcd3ba	ENSDARP00000129155
ENSDARG00000026875	tlcd3ba	ENSDARP00000129798
ENSDARG00000026875	tlcd3ba	
ENSDARG00000026875	tlcd3ba	ENSDARP00000129707
ENSDARG00000026875	tlcd3ba	ENSDARP00000128911
ENSDARG00000026875	tlcd3ba	ENSDARP00000031019
ENSDARG00000078701	prdm13	ENSDARP00000121562
ENSDARG00000105345	si:ch1073-153i20.2	ENSDARP00000136534
ENSDARG00000056917	si:rp71-45g20.4	
ENSDARG00000056917	si:rp71-45g20.4	ENSDARP00000114299
ENSDARG00000056917	si:rp71-45g20.4	ENSDARP00000099598
ENSDARG00000056917	si:rp71-45g20.4	ENSDARP00000117189
ENSDARG00000056917	si:rp71-45g20.4	
ENSDARG00000056917	si:rp71-45g20.4	
ENSDARG00000056917	si:rp71-45g20.4	
ENSDARG00000056917	si:rp71-45g20.4	ENSDARP00000144544
ENSDARG00000056917	si:rp71-45g20.4	
ENSDARG00000056917	si:rp71-45g20.4	
ENSDARG00000007406	phox2a	ENSDARP00000013072
ENSDARG00000091777	mapkap1	ENSDARP00000111582
ENSDARG00000091777	mapkap1	ENSDARP00000117150
ENSDARG00000002396	cry-dash	ENSDARP00000121988
ENSDARG00000074589	rin2a	
ENSDARG00000074589	rin2a	ENSDARP00000113863
ENSDARG00000074589	rin2a	
ENSDARG00000074589	rin2a	ENSDARP00000109860
ENSDARG00000007359	zgc:56596	ENSDARP00000009190
ENSDARG00000030350	mnx2b	ENSDARP00000040367
ENSDARG00000030350	mnx2b	ENSDARP00000100110
ENSDARG00000037142	cfap96	ENSDARP00000107533
ENSDARG00000037142	cfap96	ENSDARP00000142202
ENSDARG00000037142	cfap96	ENSDARP00000054005
ENSDARG00000014545	golim4b	ENSDARP00000021000
ENSDARG00000088029	olfcn1	ENSDARP00000064152
ENSDARG00000088029	olfcn1	ENSDARP00000125743
ENSDARG00000101028	fnbp1b	ENSDARP00000152011
ENSDARG00000101028	fnbp1b	ENSDARP00000145014
ENSDARG00000101028	fnbp1b	ENSDARP00000137643
ENSDARG00000101028	fnbp1b	ENSDARP00000136242
ENSDARG00000101028	fnbp1b	ENSDARP00000144914
ENSDARG00000104891	si:dkey-109j17.5	ENSDARP00000138255
ENSDARG00000100439	zgc:153383	ENSDARP00000132926
ENSDARG00000093954	si:dkey-9i23.16	ENSDARP00000121370
ENSDARG00000093954	si:dkey-9i23.16	
ENSDARG00000095245	si:ch211-157j23.5	ENSDARP00000129574
ENSDARG00000095245	si:ch211-157j23.5	ENSDARP00000127543
ENSDARG00000091905	si:dkey-108k21.21	ENSDARP00000127877
ENSDARG00000091905	si:dkey-108k21.21	ENSDARP00000146719
ENSDARG00000097784	ccdc162	ENSDARP00000127804
ENSDARG00000056922	ltbp1	ENSDARP00000127651
ENSDARG00000056922	ltbp1	ENSDARP00000073916
ENSDARG00000077602	si:ch211-212i14.3	
ENSDARG00000105061	si:ch73-261i21.5	ENSDARP00000138045
ENSDARG00000021137	adgrv1	ENSDARP00000020853
ENSDARG00000056633	fgf13b	ENSDARP00000114905
ENSDARG00000056633	fgf13b	
ENSDARG00000056633	fgf13b	ENSDARP00000132775
ENSDARG00000056633	fgf13b	ENSDARP00000150350
ENSDARG00000056633	fgf13b	ENSDARP00000003654
ENSDARG00000056633	fgf13b	ENSDARP00000157567
ENSDARG00000000567	znf281a	ENSDARP00000128940
ENSDARG00000000567	znf281a	ENSDARP00000148332
ENSDARG00000074776	tmem154	ENSDARP00000144609
ENSDARG00000074776	tmem154	ENSDARP00000120666
ENSDARG00000079027	chsy1	ENSDARP00000095309
ENSDARG00000037883	prcp	ENSDARP00000077802
ENSDARG00000077060	rbm6	ENSDARP00000088044
ENSDARG00000077060	rbm6	
ENSDARG00000043388	atraid	ENSDARP00000063695
ENSDARG00000043388	atraid	
ENSDARG00000098112	btc	ENSDARP00000136928
ENSDARG00000098112	btc	ENSDARP00000137815
ENSDARG00000098112	btc	ENSDARP00000150018
ENSDARG00000098112	btc	ENSDARP00000157166
ENSDARG00000091418	snx17	ENSDARP00000040190
ENSDARG00000091418	snx17	ENSDARP00000137695
ENSDARG00000071032	pnkd	ENSDARP00000095538
ENSDARG00000071032	pnkd	
ENSDARG00000103898	si:dkey-281a10.1	
ENSDARG00000019302	mid1ip1b	ENSDARP00000021980
ENSDARG00000099593	r3hcc1	ENSDARP00000139628
ENSDARG00000099593	r3hcc1	ENSDARP00000137545
ENSDARG00000009470	hnf1a	ENSDARP00000006784
ENSDARG00000009470	hnf1a	ENSDARP00000068655
ENSDARG00000060103	cpeb3	ENSDARP00000078789
ENSDARG00000101586	si:ch73-389b16.1	ENSDARP00000131363
ENSDARG00000105220	si:ch211-107m4.3	
ENSDARG00000097966	si:dkey-7f16.2	
ENSDARG00000052528	camk2n1b	
ENSDARG00000038563	pitrm1	ENSDARP00000056293
ENSDARG00000038563	pitrm1	
ENSDARG00000102710	si:dkey-62k3.4	
ENSDARG00000006031	abat	
ENSDARG00000006031	abat	ENSDARP00000125625
ENSDARG00000006031	abat	ENSDARP00000148000
ENSDARG00000016630	tprb	
ENSDARG00000016630	tprb	ENSDARP00000019846
ENSDARG00000003311	pank2	
ENSDARG00000003311	pank2	ENSDARP00000116294
ENSDARG00000095459	si:ch211-191j22.3	ENSDARP00000123372
ENSDARG00000095459	si:ch211-191j22.3	ENSDARP00000136072
ENSDARG00000097820	si:ch211-241d24.3	
ENSDARG00000016065	tlr3	ENSDARP00000014779
ENSDARG00000017798	bcor	ENSDARP00000145135
ENSDARG00000017798	bcor	ENSDARP00000092882
ENSDARG00000017798	bcor	ENSDARP00000047441
ENSDARG00000034643	fhl3a	ENSDARP00000121030
ENSDARG00000034643	fhl3a	ENSDARP00000122585
ENSDARG00000092528	si:ch211-281g2.2	
ENSDARG00000092528	si:ch211-281g2.2	
ENSDARG00000092528	si:ch211-281g2.2	
ENSDARG00000061691	qpctla	ENSDARP00000082680
ENSDARG00000058115	fgfr2	ENSDARP00000124761
ENSDARG00000058115	fgfr2	
ENSDARG00000058115	fgfr2	ENSDARP00000124472
ENSDARG00000058115	fgfr2	ENSDARP00000075360
ENSDARG00000058115	fgfr2	ENSDARP00000123845
ENSDARG00000058115	fgfr2	ENSDARP00000089041
ENSDARG00000042120	firrm	ENSDARP00000061728
ENSDARG00000004131	rttn	ENSDARP00000156549
ENSDARG00000004131	rttn	ENSDARP00000116607
ENSDARG00000004131	rttn	ENSDARP00000023024
ENSDARG00000004131	rttn	ENSDARP00000116954
ENSDARG00000056386	tmc1	ENSDARP00000089217
ENSDARG00000056386	tmc1	ENSDARP00000121310
ENSDARG00000042533	gstm.1	ENSDARP00000049792
ENSDARG00000114908	znf1088	ENSDARP00000132857
ENSDARG00000114908	znf1088	ENSDARP00000112071
ENSDARG00000091894	si:dkey-60b12.6	
ENSDARG00000062266	edc4	ENSDARP00000148991
ENSDARG00000062266	edc4	ENSDARP00000119525
ENSDARG00000062266	edc4	ENSDARP00000084220
ENSDARG00000062266	edc4	ENSDARP00000130250
ENSDARG00000021855	arnt	ENSDARP00000076292
ENSDARG00000021855	arnt	ENSDARP00000107928
ENSDARG00000021855	arnt	ENSDARP00000112110
