Gene stable ID	Gene name	Protein stable ID
ENSDARG00000102175	hamp	ENSDARP00000130038
ENSDARG00000018153	nt5c1ba	ENSDARP00000115075
ENSDARG00000054533	araf	ENSDARP00000071167
ENSDARG00000054533	araf	ENSDARP00000118701
ENSDARG00000054533	araf	ENSDARP00000135192
ENSDARG00000054533	araf	ENSDARP00000118602
ENSDARG00000054533	araf	ENSDARP00000071158
ENSDARG00000054533	araf	ENSDARP00000112713
ENSDARG00000092243	si:ch211-163b2.2	
ENSDARG00000038154	isca2	ENSDARP00000128847
ENSDARG00000038154	isca2	ENSDARP00000055610
ENSDARG00000036420	si:dkey-33c9.6	ENSDARP00000142661
ENSDARG00000036420	si:dkey-33c9.6	ENSDARP00000142678
ENSDARG00000036420	si:dkey-33c9.6	ENSDARP00000052905
ENSDARG00000098726	rptor	ENSDARP00000154154
ENSDARG00000098726	rptor	ENSDARP00000154260
ENSDARG00000098726	rptor	ENSDARP00000132117
ENSDARG00000098726	rptor	ENSDARP00000130300
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000141572
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000130837
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000155718
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000156013
ENSDARG00000096511	si:dkey-71h2.4	
ENSDARG00000037652	ints15	ENSDARP00000054842
ENSDARG00000037652	ints15	ENSDARP00000119765
ENSDARG00000027963	camkva	ENSDARP00000153285
ENSDARG00000027963	camkva	ENSDARP00000127692
ENSDARG00000097726	si:ch211-149e23.4	ENSDARP00000129393
ENSDARG00000105456		
ENSDARG00000095680	si:ch211-122l14.8	
ENSDARG00000011821	plod2	ENSDARP00000097266
ENSDARG00000011821	plod2	
ENSDARG00000011821	plod2	ENSDARP00000012147
ENSDARG00000011821	plod2	
ENSDARG00000095576	si:ch211-122l14.7	ENSDARP00000117632
ENSDARG00000035875	tmem54b	ENSDARP00000052085
ENSDARG00000057074	rpgrb	ENSDARP00000109241
ENSDARG00000057074	rpgrb	ENSDARP00000083057
ENSDARG00000075181	crfb16	ENSDARP00000090421
ENSDARG00000075181	crfb16	ENSDARP00000112934
ENSDARG00000077950	tor1	ENSDARP00000122316
ENSDARG00000077950	tor1	ENSDARP00000103594
ENSDARG00000079355	flrt2	ENSDARP00000126632
ENSDARG00000044251	rasgef1bb	ENSDARP00000064967
ENSDARG00000096398	si:ch211-276a17.5	ENSDARP00000125977
ENSDARG00000003144	pxmp2	
ENSDARG00000003144	pxmp2	ENSDARP00000026766
ENSDARG00000016968	tmem214	
ENSDARG00000016968	tmem214	
ENSDARG00000016968	tmem214	
ENSDARG00000016968	tmem214	ENSDARP00000109245
ENSDARG00000090063	fa2h	ENSDARP00000151200
ENSDARG00000090063	fa2h	ENSDARP00000139134
ENSDARG00000090063	fa2h	ENSDARP00000107067
ENSDARG00000090063	fa2h	ENSDARP00000150369
ENSDARG00000033789	ndufb7	ENSDARP00000122279
ENSDARG00000033789	ndufb7	ENSDARP00000043932
ENSDARG00000017522	ctdp1	ENSDARP00000123927
ENSDARG00000077860	ankhd1	ENSDARP00000138826
ENSDARG00000077860	ankhd1	ENSDARP00000121740
ENSDARG00000097025	si:ch211-123o7.6	
ENSDARG00000052097	trim35-31	ENSDARP00000057463
ENSDARG00000052097	trim35-31	ENSDARP00000144276
ENSDARG00000098675	traj55	ENSDARP00000141764
ENSDARG00000045015	cyp27b1	ENSDARP00000142417
ENSDARG00000101490	si:ch73-281i18.6	ENSDARP00000138874
ENSDARG00000101490	si:ch73-281i18.6	ENSDARP00000105234
ENSDARG00000101490	si:ch73-281i18.6	ENSDARP00000141785
ENSDARG00000008100	slc7a10a	ENSDARP00000070263
ENSDARG00000041340	mrpl51	ENSDARP00000060593
ENSDARG00000041340	mrpl51	ENSDARP00000088311
ENSDARG00000087757	pimr190	ENSDARP00000129331
ENSDARG00000110990	si:ch211-198e20.6	
ENSDARG00000092491	si:dkey-149i17.8	ENSDARP00000118022
ENSDARG00000045873	frs2a	ENSDARP00000067422
ENSDARG00000088072	usp43b	ENSDARP00000106880
ENSDARG00000096208	si:dkeyp-100h4.8	ENSDARP00000125446
ENSDARG00000070874	asmt2	ENSDARP00000081319
ENSDARG00000105588	si:dkey-181f22.5p	
ENSDARG00000075339	ipp	
ENSDARG00000075339	ipp	
ENSDARG00000045641	usp3	
ENSDARG00000045641	usp3	ENSDARP00000129176
ENSDARG00000103025	hmgcs1	ENSDARP00000130729
ENSDARG00000103025	hmgcs1	ENSDARP00000137373
ENSDARG00000103025	hmgcs1	ENSDARP00000136183
ENSDARG00000103025	hmgcs1	ENSDARP00000145051
ENSDARG00000103025	hmgcs1	ENSDARP00000135052
ENSDARG00000061439	ugt5c3	ENSDARP00000089576
ENSDARG00000102553	traj6	ENSDARP00000130470
ENSDARG00000104269	si:ch211-271d10.2	ENSDARP00000135337
ENSDARG00000052520	sgms2a	ENSDARP00000116653
ENSDARG00000052520	sgms2a	
ENSDARG00000052520	sgms2a	ENSDARP00000118703
ENSDARG00000052520	sgms2a	ENSDARP00000122113
ENSDARG00000018542	hapln4	ENSDARP00000113168
ENSDARG00000074253	olig3	ENSDARP00000157677
ENSDARG00000078768	abhd15a	ENSDARP00000101710
ENSDARG00000078768	abhd15a	ENSDARP00000146058
ENSDARG00000100858	zgc:171695	ENSDARP00000134065
ENSDARG00000062357	tafa1a	ENSDARP00000122618
ENSDARG00000062357	tafa1a	ENSDARP00000104039
ENSDARG00000019135	ankef1a	ENSDARP00000127243
ENSDARG00000019135	ankef1a	ENSDARP00000147052
ENSDARG00000068711	crfb4	ENSDARP00000090253
ENSDARG00000043002	vmo1a	ENSDARP00000063137
ENSDARG00000090854	lsm11	
ENSDARG00000090854	lsm11	ENSDARP00000105121
ENSDARG00000056683	cdk5	ENSDARP00000073666
ENSDARG00000098676	si:dkey-107h14.8	
ENSDARG00000012446	helz2c	ENSDARP00000136739
ENSDARG00000012446	helz2c	
ENSDARG00000012446	helz2c	ENSDARP00000115109
ENSDARG00000078567	lonrf1	ENSDARP00000130965
ENSDARG00000078567	lonrf1	ENSDARP00000123656
ENSDARG00000021444	prf1.2	ENSDARP00000124868
ENSDARG00000029263	hoxb3a	ENSDARP00000121974
ENSDARG00000029263	hoxb3a	ENSDARP00000072928
ENSDARG00000029263	hoxb3a	ENSDARP00000123220
ENSDARG00000029263	hoxb3a	ENSDARP00000144466
ENSDARG00000029263	hoxb3a	ENSDARP00000153325
ENSDARG00000029263	hoxb3a	ENSDARP00000156821
ENSDARG00000029263	hoxb3a	ENSDARP00000128207
ENSDARG00000029263	hoxb3a	ENSDARP00000155326
ENSDARG00000030472	slc16a5a	ENSDARP00000127291
ENSDARG00000030472	slc16a5a	ENSDARP00000045185
ENSDARG00000042515	gpr176	ENSDARP00000122329
ENSDARG00000042018	fhl2a	ENSDARP00000061576
ENSDARG00000042018	fhl2a	ENSDARP00000152070
ENSDARG00000042018	fhl2a	ENSDARP00000108260
